device_id,timestamp,conductivity,latitude,longitude,moisture,nitrogen,pH,phosphor,potassium,Temperature
M20-2407300002 --- ,2024-11-01-11:19:05,703.6667,26.3079688,68.3654373,20.9,40.3333,6.8933,55.3333,138.6667,35.5
M20-2407300002 --- ,2024-11-01-11:19:19,719,26.3079688,68.3654373,20.70000076,41,6.449999809,57,141,35
M20-2407300002 --- ,2024-11-01-11:22:55,538.6667,26.3079127,68.3653706,19.9556,32.1111,7.2444,44.1111,110.6667,33.3111
M20-2407300002 --- ,2024-11-01-11:23:40,664,26.3079127,68.3653706,22.20000076,38,7.510000229,53,132,33.5
M20-2407300002 --- ,2024-11-01-11:23:41,670,26.3079127,68.3653706,22.20000076,39,7.320000172,53,133,33.5
M20-2407300002 --- ,2024-11-01-11:23:42,670,26.3079127,68.3653706,22.20000076,39,7.320000172,53,133,33.5
M20-2407300002 --- ,2024-11-01-11:23:43,670,26.3079127,68.3653706,22.20000076,39,7.320000172,53,133,33.5
M20-2407300002 --- ,2024-11-01-11:33:25,585.3333,26.3077303,68.3654334,18.35,34.3333,6.32,47.5,118.5,37.1167
M20-2407300002 --- ,2024-11-01-11:33:31,983,26.3077297,68.3654325,27.89999962,54,5.559999943,75,186,37.40000153
M20-2407300002 --- ,2024-11-01-11:33:32,992,26.3077297,68.3654325,27.89999962,55,5.559999943,75,188,37.40000153
M20-2407300002 --- ,2024-11-01-11:33:37,1021,26.3077297,68.3654325,27.70000076,56,5.630000114,77,193,37.40000153
M20-2407300002 --- ,2024-11-01-11:36:00,371,26.3076198,68.3655271,22.20000076,24,6.570000172,33,82,36.29999924
M20-2407300002 --- ,2024-11-01-11:36:02,371,26.3076198,68.3655271,22.10000038,24,6.570000172,33,82,36.29999924
M20-2407300002 --- ,2024-11-01-11:40:38,535.1905,26.3074942,68.365415,14.0429,32.0476,7.479,44.0476,110.0476,32.4381
M20-2407300002 --- ,2024-11-01-11:41:06,1552,26.3074933,68.365417,28.5,83,6.010000229,114,283,34.29999924
M20-2407300002 --- ,2024-11-01-11:45:10,342,26.3073455,68.3652224,12.19999981,22,7.119999886,31,77,32.70000076
M20-2407300002 --- ,2024-11-01-11:46:36,403,26.3071165,68.3654509,11,25,6.96999979,35,88,31.5
M20-2407300002 --- ,2024-11-01-11:50:19,1217,26.3068324,68.3654829,27.60000038,66,7.880000114,91,226,31.5
M20-2407300002 --- ,2024-11-01-13:10:20,4351.7222,26.3063486,68.3653948,34.3778,222.3333,7.4767,306.5,520.1667,39.4778
M20-2407300002 --- ,2024-11-01-13:11:54,1507,26.3062611,68.3654051,29.5,81,6.510000229,111,275,39.59999847
M20-2407300002 --- ,2024-11-01-13:15:20,3539.5303,26.3059015,68.3656259,30.2833,182.1818,7.7429,251.2273,513.5758,37.9409
M20-2407300002 --- ,2024-11-01-13:18:18,1422,26.3062455,68.3657123,29.60000038,76,7.860000134,105,261,39.29999924
M20-2407300002 --- ,2024-11-01-13:18:26,1402,26.306246,68.3657184,29.29999924,75,6.46999979,104,258,39.20000076
M20-2407300002 --- ,2024-11-01-13:20:08,12872,26.3067702,68.3658107,32.59999847,649,7.820000172,895,1999,38.79999924
M20-2407300002 --- ,2024-11-01-13:21:17,943,26.3068658,68.3656117,25.79999924,52,7.070000172,72,179,38.70000076
M20-2407300002 --- ,2024-11-01-13:21:46,408,26.3069111,68.3657023,22.70000076,26,7.849999905,35,88,38.79999924
M20-2407300002 --- ,2024-11-01-13:21:47,406,26.3069116,68.3656999,22.70000076,26,7.849999905,35,88,38.70000076
M20-2407300002 --- ,2024-11-01-13:23:51,501,26.306434,68.365703,24.89999962,30,7.869999886,42,104,38.79999924
M20-2407300002 --- ,2024-11-01-13:23:53,500,26.3071609,68.3658996,24.89999962,30,7.869999886,42,104,38.79999924
M20-2407300002 --- ,2024-11-01-13:23:54,495,26.3071609,68.3658996,24.89999962,30,7.869999886,41,103,38.79999924
M20-2407300002 --- ,2024-11-01-13:23:55,495,26.3072451,68.3659192,24.89999962,30,7.869999886,41,103,38.79999924
M20-2407300002 --- ,2024-11-01-13:26:33,728,26.3075972,68.3655808,40.79999924,42,7.320000172,57,143,38.90000153
M20-2407300002 --- ,2024-11-01-13:26:34,722,26.3075972,68.3655808,40.59999847,41,7.320000172,57,142,38.90000153
M20-2407300002 --- ,2024-11-01-13:27:57,514,26.3079184,68.3658915,36.29999924,31,7.800000191,42,106,38.29999924
M20-2407300002 --- ,2024-11-01-13:27:58,480,26.3079184,68.3658915,33.70000076,29,7.800000191,40,101,38.29999924
M20-2407300002 --- ,2024-11-01-13:27:59,480,26.3079184,68.3658915,33.70000076,29,7.800000191,40,101,38.29999924
M20-2407300002 --- ,2024-11-01-13:29:29,557,26.308021,68.3657492,21.60000038,33,7.920000076,45,114,37.70000076
M20-2407300002 --- ,2024-11-01-13:29:32,562,26.308021,68.3657492,21.60000038,33,7.920000076,46,115,37.70000076
M20-2407300002 --- ,2024-11-01-13:30:15,712,26.3080221,68.3659865,24.20000076,41,7.840000153,56,140,37.29999924
M20-2407300002 --- ,2024-11-01-13:31:30,224,26.3078598,68.3665305,16.60000038,16,8.069999695,22,57,36.09999847
M20-2407300002 --- ,2024-11-01-13:31:31,224,26.3078598,68.3665305,16.60000038,16,8.069999695,22,57,36.09999847
M20-2407300002 --- ,2024-11-01-13:31:32,224,26.3079337,68.3663975,16.60000038,16,7.690000057,22,57,36.09999847
M20-2407300002 --- ,2024-11-01-13:32:17,423,26.3077223,68.366392,23.10000038,26,7.96999979,36,91,35.79999924
M20-2407300002 --- ,2024-11-01-13:32:29,449,26.3077117,68.3663867,23.29999924,28,7.659999847,38,96,35.70000076
M20-2407300002 --- ,2024-11-01-13:34:10,426,26.3073193,68.3665703,21.29999924,27,7.869999886,36,92,35.79999924
M20-2407300002 --- ,2024-11-01-13:34:17,103,26.3073191,68.3665704,0,10,7.880000114,14,37,35.79999924
M20-2407300002 --- ,2024-11-01-13:35:51,1087,26.3070255,68.3664568,36.5,60,7.869999886,82,204,35.5
M20-2407300002 --- ,2024-11-01-13:35:56,1091,26.3070255,68.3664568,36.5,60,7.880000114,82,205,35.5
M20-2407300002 --- ,2024-11-01-13:37:43,17794,26.3066198,68.3666782,63.40000153,895,8.069999695,1235,1999,35.5
M20-2407300002 --- ,2024-11-01-13:38:46,2005,26.3067355,68.3663416,18.5,106,7.880000114,145,360,34.70000076
M20-2407300002 --- ,2024-11-01-13:38:47,2042,26.3067355,68.3663416,18.5,107,7.880000114,148,366,34.70000076
M20-2407300002 --- ,2024-11-01-13:40:41,5761.25,26.3068231,68.3667049,27.475,293.3333,7.7892,404.6667,998.6667,35.1
M20-2407300002 --- ,2024-11-01-13:40:45,1115,26.3068231,68.3667049,24.79999924,61,7.050000191,84,209,34.40000153
M20-2407300002 --- ,2024-11-01-13:40:47,1108,26.3068231,68.3667049,24.79999924,61,7.050000191,84,208,34.40000153
M20-2407300002 --- ,2024-11-01-13:40:58,200,26.3068231,68.3667049,0,15,7.869999886,21,53,34.5
M20-2407300002 --- ,2024-11-01-13:42:20,11032,26.3063991,68.3667907,40.09999847,557,7.539999962,768,1895,35
M20-2407300002 --- ,2024-11-01-13:43:36,10125,26.3068356,68.3665277,25.70000076,512,7.96999979,706,1740,35.40000153
M20-2407300002 --- ,2024-11-01-13:43:39,10261,26.3060028,68.3666486,25.70000076,518,7.96999979,715,1764,35.40000153
M20-2407300002 --- ,2024-11-01-13:43:40,10292,26.3060028,68.3666486,25.70000076,520,7.96999979,717,1769,35.40000153
M20-2407300002 --- ,2024-11-01-13:44:32,2030,26.3060033,68.3669326,21.10000038,107,8.069999695,147,364,35.70000076
M20-2407300002 --- ,2024-11-01-13:44:33,2033,26.3058013,68.3668646,21.10000038,107,8.069999695,147,365,35.70000076
M20-2407300002 --- ,2024-11-01-13:44:34,2033,26.3058013,68.3668646,21.10000038,107,8.069999695,147,365,35.70000076
M20-2407300002 --- ,2024-11-01-13:44:43,2049,26.3059928,68.3667633,21,108,7.96999979,148,367,35.70000076
M20-2407300002 --- ,2024-11-01-13:47:01,2622.3333,26.3059936,68.3671988,21.3844,136.4,7.8102,188.0222,379.2222,37.0356
M20-2407300002 --- ,2024-11-01-13:47:08,2005,26.3059936,68.3671988,22.39999962,106,7.920000076,145,360,36.40000153
M20-2407300002 --- ,2024-11-01-13:47:09,2072,26.3059936,68.3671988,23.29999924,109,7.920000076,150,371,36.5
M20-2407300002 --- ,2024-11-01-13:49:30,14952,26.3060014,68.3676402,42.29999924,753,7.869999886,1039,1999,36.70000076
M20-2407300002 --- ,2024-11-01-13:49:34,14837,26.3060013,68.3676402,43.09999847,747,7.880000114,1031,1999,36.70000076
M20-2407300002 --- ,2024-11-01-13:49:35,15383,26.3060013,68.3676402,43.40000153,774,7.880000114,1068,1999,36.70000076
M20-2407300002 --- ,2024-11-01-13:49:36,15399,26.3060013,68.3676402,43.40000153,775,7.880000114,1070,1999,36.70000076
M20-2407300002 --- ,2024-11-01-13:51:20,1803,26.3060447,68.3675244,19.89999962,95,7.880000114,131,326,36.79999924
M20-2407300002 --- ,2024-11-01-13:51:21,1803,26.3060447,68.3675244,19.89999962,95,7.880000114,131,326,36.79999924
M20-2407300002 --- ,2024-11-01-13:51:38,1820,26.3065219,68.3676046,19.20000076,96,7.940000057,133,329,36.79999924
M20-2407300002 --- ,2024-11-01-13:51:39,1821,26.3065219,68.3676046,19.20000076,96,7.940000057,133,329,36.79999924
M20-2407300002 --- ,2024-11-01-13:54:30,1164,26.3067633,68.3674625,16.60000038,63,7.920000076,87,217,36.5
M20-2407300002 --- ,2024-11-01-13:54:31,1168,26.3067633,68.3674625,16.60000038,64,7.920000076,88,218,36.5
M20-2407300002 --- ,2024-11-01-13:54:32,1168,26.3067633,68.3674625,16.60000038,64,7.920000076,88,218,36.5
M20-2407300002 --- ,2024-11-01-13:56:10,435,26.3063181,68.3674738,23.89999962,27,7.96999979,37,93,36.59999847
M20-2407300002 --- ,2024-11-01-13:56:12,434,26.3065719,68.3673228,23.89999962,27,7.96999979,37,93,36.70000076
M20-2407300002 --- ,2024-11-01-13:56:13,436,26.3065719,68.3673228,23.79999924,27,7.559999943,37,93,36.70000076
M20-2407300002 --- ,2024-11-01-13:56:21,434,26.306725,68.3672278,23.79999924,27,7.179999828,37,93,36.70000076
M20-2407300002 --- ,2024-11-01-13:56:22,436,26.306725,68.3672278,23.79999924,27,7.179999828,37,93,36.70000076
M20-2407300002 --- ,2024-11-01-13:58:44,300,26.307067,68.3670671,16.60000038,20,7.880000114,28,70,37.09999847
M20-2407300002 --- ,2024-11-01-13:58:45,289,26.307067,68.3670671,16.60000038,20,7.880000114,27,68,37.09999847
M20-2407300002 --- ,2024-11-01-13:58:48,282,26.307067,68.3670671,16.10000038,19,7.78000021,27,67,37.09999847
M20-2407300002 --- ,2024-11-01-14:00:18,400,26.3076914,68.3669511,19.79999924,25,6.739999771,35,87,37.20000076
M20-2407300002 --- ,2024-11-01-14:00:19,399,26.3076914,68.3669511,19.79999924,25,7.869999886,35,87,37.20000076
M20-2407300002 --- ,2024-11-01-14:00:21,401,26.3075224,68.366865,19.79999924,25,7.869999886,35,87,37.20000076
M20-2407300002 --- ,2024-11-01-14:03:08,424,26.3078922,68.3668862,21.39999962,26,7.869999886,36,91,38
M20-2407300002 --- ,2024-11-01-14:03:09,424,26.3078922,68.3668862,21.39999962,26,7.869999886,36,91,38
M20-2407300002 --- ,2024-11-01-14:03:15,431,26.3078922,68.3668862,20.79999924,27,7.880000114,37,92,38.09999847
M20-2407300002 --- ,2024-11-01-14:03:16,431,26.3078922,68.3668862,20.79999924,27,7.880000114,37,92,38.09999847
M20-2407300002 --- ,2024-11-01-14:04:45,552,26.3079296,68.3674459,24.89999962,33,7.920000076,45,113,37.79999924
M20-2407300002 --- ,2024-11-01-14:07:32,348,26.3073843,68.3676922,16.89999962,23,7.96999979,31,78,37.5
M20-2407300002 --- ,2024-11-01-14:07:36,349,26.3073142,68.3677,16.89999962,23,7.96999979,31,78,37.5
M20-2407300002 --- ,2024-11-01-14:07:37,348,26.3073142,68.3677,16.89999962,23,7.590000153,31,78,37.5
M20-2407300002 --- ,2024-11-01-14:07:38,348,26.3073119,68.3677003,16.89999962,23,7.590000153,31,78,37.5
M20-2407300002 --- ,2024-11-01-14:07:39,348,26.3073119,68.3677003,16.89999962,23,7.590000153,31,78,37.5
M20-2407300002 --- ,2024-11-01-14:07:40,350,26.3073119,68.3677003,16.79999924,23,7.590000153,31,79,37.5
M20-2407300002 --- ,2024-11-01-14:07:41,350,26.3073118,68.3677003,16.79999924,23,7.590000153,31,79,37.5
M20-2407300002 --- ,2024-11-01-14:07:42,350,26.3073118,68.3677003,16.89999962,23,7.090000153,31,79,37.5
M20-2407300002 --- ,2024-11-01-14:10:02,399,26.306954,68.3676729,26.39999962,25,7.599999905,35,87,37.59999847
M20-2407300002 --- ,2024-11-01-14:10:37,429,26.3069541,68.3676731,25.60000038,27,7.869999886,37,92,37.59999847
M20-2407300002 --- ,2024-11-01-14:11:43,216,26.3064318,68.3678372,0,16,8.020000458,22,56,37.70000076
M20-2407300002 --- ,2024-11-01-14:11:44,216,26.3064318,68.3678372,0,16,8.020000458,22,56,37.70000076
M20-2407300002 --- ,2024-11-01-19:01:58,0,26.2535415,68.388778,0,0,7.880000114,0,0,34.20000076
M20-2407300002 --- ,2024-11-01-19:02:08,100,26.2534289,68.388769,27.9333,10,7.2667,14,36,34.2667
M20-2407300002 --- ,2024-11-01-19:02:12,100,26.2535884,68.3887405,27.79999924,10,6.889999866,14,36,34.20000076
M20-2407300002 --- ,2024-11-01-19:02:13,100,26.2535884,68.3887405,27.10000038,10,6.889999866,14,36,34.29999924
M20-2407300002 --- ,2024-11-01-19:02:14,100,26.2535884,68.3887405,27.10000038,10,6.889999866,14,36,34.29999924
M20-2407300002 --- ,2024-11-01-19:02:15,100,26.2535884,68.3887405,26.79999924,10,6.889999866,14,36,34.29999924
M20-2407300002 --- ,2024-11-01-19:02:16,100,26.2535884,68.3887405,26.79999924,10,4.949999809,14,36,34.29999924
M20-2407300002 --- ,2024-11-01-22:02:20,31.1111,26.2995764,68.3569984,14.8,3.8889,7.6233,5.3333,13.6667,27.7222
